taxonrank	scientificname	countrycode	locality	decimallatitude	decimallongitude	eventdate	basisofrecord	institutioncode	collectioncode	recordedby
SPECIES	Cichla temensis Humboldt, 1821	BR	rio Negro na Pedra do Madaá, Parque Nacional de Anavilhanas	-2.27705	-61.08413	2016-05-07T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Acarichthys heckelii (Müller & Troschel, 1849)	BR	rio Negro na Pedra do Madaá, Parque Nacional de Anavilhanas	-2.27705	-61.08413	2016-05-07T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Hoplias malabaricus (Bloch, 1794)	BR	rio Negro no Lago Xidaua, Parque Nacional de Anavilhanas	-2.71953	-60.75557	2016-05-05T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Bryconamericus diaphanus (Cope, 1878)	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Rivulus taeniatus Fowler, 1945	BR	Igarapé nas Grutas de Madaá, tributário do rio Negro, Parque Nacional de Anavilhanas	-2.27902	-61.09373	2016-05-07T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Satanoperca lilith Kullander & Ferreira, 1988	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Hemigrammus levis Durbin, 1908	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Pseudoloricaria laeviuscula (Valenciennes, 1840)	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Micromischodus sugillatus Roberts, 1971	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
GENUS	Pyrrhulina Valenciennes, 1846	BR	Igarapé nas Grutas de Madaá, tributário do rio Negro, Parque Nacional de Anavilhanas	-2.27902	-61.09373	2016-05-07T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Moenkhausia lata Eigenmann, 1908	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Rhabdolichops nigrimans Correa, Crampton & Albert, 2006	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Acestrorhynchus grandoculis Menezes & Géry, 1983	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Cyphocharax leucostictus (Eigenmann & Eigenmann, 1889)	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Laemolyta garmani (Borodin, 1931)	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Lonchogenys ilisha Myers, 1927	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Serrasalmus manueli (Fernández-Yépez & Ramírez, 1967)	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Tetragonopterus chalceus Spix & Agassiz, 1829	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Moenkhausia lepidura (Kner, 1858)	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
GENUS	Metynnis Cope, 1878	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Bryconops caudomaculatus (Günther, 1864)	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Biotoecus opercularis (Steindachner, 1875)	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Dekeyseria picta (Kner, 1854)	BR	rio Negro no flutuante do ICMBio, Parque Nacional de Anavilhanas	-2.61921	-60.94939	2016-05-07T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Hemiodus gracilis Günther, 1864	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Moenkhausia lepidura (Kner, 1858)	BR	rio Negro no Lago Xidaua, Parque Nacional de Anavilhanas	-2.71953	-60.75557	2016-05-05T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
GENUS	Pimelodella Eigenmann & Eigenmann, 1888	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Biotoecus opercularis (Steindachner, 1875)	BR	Praia na margem direita do rio Negro, Parque Nacional de Anavilhanas	-2.77925	-60.78255	2016-05-04T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Hemigrammus coeruleus Durbin, 1908	BR	rio Negro no Lago Xidaua, Parque Nacional de Anavilhanas	-2.71953	-60.75557	2016-05-05T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
GENUS	Pachypops Gill, 1861	BR	Praia na margem direita do rio Negro, Parque Nacional de Anavilhanas	-2.77925	-60.78255	2016-05-04T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Aequidens pallidus (Heckel, 1840)	BR	rio Negro no Lago Xidaua, Parque Nacional de Anavilhanas	-2.71953	-60.75557	2016-05-05T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Apistogramma pertensis (Haseman, 1911)	BR	rio Negro no Lago Xidaua, Parque Nacional de Anavilhanas	-2.71953	-60.75557	2016-05-05T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Anduzedoras oxyrhynchus (Valenciennes, 1821)	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Brycon pesu Müller & Troschel, 1845	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Hemiodus thayeria Böhlke, 1955	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Moenkhausia intermedia Eigenmann, 1908	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Pimelodus albofasciatus Mees, 1974	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Auchenipterichthys longimanus (Günther, 1864)	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Triportheus albus Cope, 1872	BR	Praia na margem direita do rio Negro, Parque Nacional de Anavilhanas	-2.77925	-60.78255	2016-05-04T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Hyphessobrycon rosaceus Durbin, 1909	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Microphilypnus ternetzi Myers, 1927	BR	rio Negro no Lago Xidaua, Parque Nacional de Anavilhanas	-2.71953	-60.75557	2016-05-05T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Hemiodus thayeria Böhlke, 1955	BR	Praia na margem direita do rio Negro, Parque Nacional de Anavilhanas	-2.77925	-60.78255	2016-05-04T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
GENUS	Anchoviella Fowler, 1911	BR	Praia na margem direita do rio Negro, Parque Nacional de Anavilhanas	-2.77925	-60.78255	2016-05-04T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Pimelodella cristata (Müller & Troschel, 1849)	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Centromochlus macracanthus Soares-Porto, 2000	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Hemiodus unimaculatus (Bloch, 1794)	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Mesonauta insignis (Heckel, 1840)	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
GENUS	Anchoviella Fowler, 1911	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Hemiodus gracilis Günther, 1864	BR	Praia na margem direita do rio Negro, Parque Nacional de Anavilhanas	-2.77925	-60.78255	2016-05-04T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
GENUS	Hoplias Gill, 1903	BR	Igarapé Açu, tributário do rio Negro, Parque Nacional de Anavilhanas	-2.82201	-60.87086	2016-05-04T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Geophagus winemilleri López-Fernández & Taphorn, 2004	BR	rio Negro na Praia do Saraá, Parque Nacional de Anavilhanas	-2.61374	-60.95543	2016-05-06T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Nannostomus eques Steindachner, 1876	BR	rio Negro no Lago Xidaua, Parque Nacional de Anavilhanas	-2.71953	-60.75557	2016-05-05T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Apistogramma paucisquamis Kullander & Staeck, 1988	BR	rio Negro no Lago Xidaua, Parque Nacional de Anavilhanas	-2.71953	-60.75557	2016-05-05T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Centromochlus macracanthus Soares-Porto, 2000	BR	Praia na margem direita do rio Negro, Parque Nacional de Anavilhanas	-2.77925	-60.78255	2016-05-04T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Satanoperca lilith Kullander & Ferreira, 1988	BR	Praia na margem direita do rio Negro, Parque Nacional de Anavilhanas	-2.77925	-60.78255	2016-05-04T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Bryconamericus diaphanus (Cope, 1878)	BR	Praia na margem direita do rio Negro, Parque Nacional de Anavilhanas	-2.77925	-60.78255	2016-05-04T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Hemigrammus coeruleus Durbin, 1908	BR	Igarapé Açu, tributário do rio Negro, Parque Nacional de Anavilhanas	-2.82201	-60.87086	2016-05-04T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Acarichthys heckelii (Müller & Troschel, 1849)	BR	Praia na margem direita do rio Negro, Parque Nacional de Anavilhanas	-2.77925	-60.78255	2016-05-04T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Pseudoloricaria laeviuscula (Valenciennes, 1840)	BR	Praia na margem direita do rio Negro, Parque Nacional de Anavilhanas	-2.77925	-60.78255	2016-05-04T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Pimelodus albofasciatus Mees, 1974	BR	Praia na margem direita do rio Negro, Parque Nacional de Anavilhanas	-2.77925	-60.78255	2016-05-04T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Auchenipterichthys longimanus (Günther, 1864)	BR	Praia na margem direita do rio Negro, Parque Nacional de Anavilhanas	-2.77925	-60.78255	2016-05-04T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Hemigrammus levis Durbin, 1908	BR	Praia na margem direita do rio Negro, Parque Nacional de Anavilhanas	-2.77925	-60.78255	2016-05-04T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Hemigrammus levis Durbin, 1908	BR	rio Negro no Lago Xidaua, Parque Nacional de Anavilhanas	-2.71953	-60.75557	2016-05-05T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
SPECIES	Acarichthys heckelii (Müller & Troschel, 1849)	BR	Igarapé Açu, tributário do rio Negro, Parque Nacional de Anavilhanas	-2.82201	-60.87086	2016-05-04T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Birindelli, J.; Jerep, F.; Charvert, P.; Bastos, D.; Ota, R.; Hashimoto, S.
