taxonrank	scientificname	countrycode	locality	decimallatitude	decimallongitude	eventdate	basisofrecord	institutioncode	collectioncode	recordedby
FAMILY	Syrphidae	BR	Ramal São Joaquim	-3.439167	-64.805833	2015-04-19T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Invertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Xavier F°, F.F.; Miranda, Gil
FAMILY	Syrphidae	BR	Parque Nacional do Viruá	1.489806	-61.002417	2015-04-19T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Invertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rafael, J. A.; Heleodoro, R. A.; Mendes, D. M. M.; Marques, D. W. A.
KINGDOM	incertae sedis	BR	AM 240, kM 24, 20 m, floresta	-2.012778	-59.828611	2015-07-28T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Invertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Henriques; Xavier Filho, F. F.; Daniel, Carmo
KINGDOM	incertae sedis	BR	AM 240, kM 24, 20 m, floresta	-2.012778	-59.828611	2015-07-28T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Invertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Henriques; Xavier Filho, F. F.; Daniel, Carmo
SPECIES	Electrophorus electricus (Linnaeus, 1766)	BR	Rio Inhangapi, igarapé Macapazinho, ramal de 11km, entrada no Km-06, PA-036.	-1.38895	-47.9854	2016-04-02T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Bastos, D.A.
SPECIES	Vandellia sanguinea Eigenmann, 1917	BR	Catalão	-3.1403	-59.9035	2016-11-18T01:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Zuanon, J.
SPECIES	Platynematichthys notatus (Jardine, 1841)	BR	Catalão	-3.1403	-59.9035	2016-11-18T01:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Zuanon, J.
SPECIES	Electrophorus electricus (Linnaeus, 1766)	BR	Rio Tarumã-açu, Reserva Adolpho Ducke, igarapé do Bolívia	-2.98405	-59.9445	2016-10-13T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Bastos, D.A.
SPECIES	Colomesus asellus (Müller & Troschel, 1849)	BR	Catalão	-3.1403	-59.9035	2016-11-18T01:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Zuanon, J.
SPECIES	Hypopygus neblinae Mago-Leccia, 1994	BR	Rio Taruma-Mirim	-2.906563	-60.229127	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Hypopygus lepturus Hoedeman, 1962	BR	Rio Taruma-Mirim	-2.906563	-60.229127	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Microcharacidium weitzmani Buckup, 1993	BR	Rio Taruma-Mirim	-2.906563	-60.229127	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Microphilypnus amazonicus Myers, 1927	BR	Rio Taruma-Mirim	-2.906563	-60.229127	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Charax condei (Géry & Knöppel, 1976)	BR	Igarape da Bomba, trib. Taruma-Mirim	-2.899579	-60.22828	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Nemuroglanis pauciradiatus Ferraris, 1988	BR	Rio Taruma-Mirim	-2.906563	-60.229127	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Copella nattereri (Steindachner, 1876)	BR	Rio Taruma-Mirim	-2.906563	-60.229127	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Nannostomus marilynae Weitzman & Cobb, 1975	BR	Igarape da Bomba, trib. Taruma-Mirim	-2.899579	-60.22828	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Scoloplax dolicholophia Schaefer, Weitzman & Britski, 1989	BR	Rio Taruma-Mirim	-2.906563	-60.229127	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
GENUS	Phenacogaster Eigenmann, 1907	BR	Igarape da Bomba, trib. Taruma-Mirim	-2.899579	-60.22828	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
GENUS	Apistogramma Regan, 1913	BR	Rio Taruma-Mirim	-2.906563	-60.229127	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Hypopygus neblinae Mago-Leccia, 1994	BR	Igarape da Bomba, trib. Taruma-Mirim	-2.899579	-60.22828	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Elachocharax pulcher Myers, 1927	BR	Rio Taruma-Mirim	-2.906563	-60.229127	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
GENUS	Hyphessobrycon Durbin, 1908	BR	Igarape da Bomba, trib. Taruma-Mirim	-2.899579	-60.22828	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Copella nattereri (Steindachner, 1876)	BR	Igarape da Bomba, trib. Taruma-Mirim	-2.899579	-60.22828	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
GENUS	Rivulus Poey, 1860	BR	Rio Taruma-Mirim	-2.906563	-60.229127	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
SPECIES	Crenicichla notophthalmus Regan, 1913	BR	Rio Taruma-Mirim	-2.906563	-60.229127	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
GENUS	Moenkhausia Eigenmann, 1903	BR	Igarape da Bomba, trib. Taruma-Mirim	-2.899579	-60.22828	2016-10-12T02:00Z	PRESERVED_SPECIMEN	Instituto Nacional de Pesquisas da Amazônia (INPA)	Coleção de Vertebrados, Instituto Nacional de Pesquisas da Amazônia (INPA)	Rapp Py-Daniel, L.; Zuanon, J.; Bastos, D.; Bifi, A.G.
