decimalLatitude	decimalLongitude	eventDate	institutionCode	locality	recordedBy	scientificName	stateProvince
-3.1452778	-60.0230556	1995-08-02	Instituto Nacional de Pesquisas da Amazônia (INPA)	Praia Grande	Cox Fernandes, C.; Lowe-McConnell, R.	Sternarchorhynchus oxyrhynchus	Amazonas
-3.0952	-59.97	1978-10-21	Instituto Nacional de Pesquisas da Amazônia (INPA)	Campus Universitário, Universidade Federal do Amazonas	Rafael,  José	Copestylum	Amazonas
-3.0926611	-59.9897167	1979-02-12	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1979-02-24	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma disYesile	Amazonas
-3.0926611	-59.9897167	1979-07-04	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma	Amazonas
-3.1452778	-60.0230556	1992-12-12	Instituto Nacional de Pesquisas da Amazônia (INPA)	Ponta Negra, Ilha do Camaleão		Distocyclus conirostris	Amazonas
-3.1452778	-60.0230556	1992-09-11	Instituto Nacional de Pesquisas da Amazônia (INPA)	Ponta Negra, rio Negro		Distocyclus conirostris	Amazonas
-3.1452778	-60.0230556	1990-11-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	Próximo à Manaus		Tympanopleura brevis	Amazonas
-3.0960556	-59.9894056	2015-06-23	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-Campus II	Mahlmann, Thiago	Phanuropsis semiflaviventris	Amazonas
-3.1452778	-60.0230556	1992-12-11	Instituto Nacional de Pesquisas da Amazônia (INPA)	Ponta Negra, Ilha do Camaleão	Chao, L.N.	Pimelodina flavipinnis	Amazonas
-3.0926611	-59.9897167	1978-05-06	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.1452778	-60.0230556	1996-07-17	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, em frente à Manaus		Opsodoras morei	Amazonas
-3.1452778	-60.0230556	1995-08-02	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, Praia Grande	Cox Fernandes, C.	Steatogenys elegans	Amazonas
-3.0926611	-59.9897167	1978-06-09	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1978-07-07	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1978-05-23	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma	Amazonas
-3.0827778	-60.0038889	2006-07-17	Instituto Nacional de Pesquisas da Amazônia (INPA)	igarapé afluente da margem esquerda do igarapé do Mindu		Ctenobrycon hauxwellianus	Amazonas
-3.0960556	-59.9894056	2015-06-04	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-Campus II	Mahlmann, Thiago	Phanuropsis semiflaviventris	Amazonas
-3.1383528	-60.0240222	1977-12-16	Instituto Nacional de Pesquisas da Amazônia (INPA)	Manaus	Best, R.C.	Amblyomma	Amazonas
-3.0926611	-59.9897167	1978-07-18	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma	Amazonas
-3.0926611	-59.9897167	1979-05-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1979-05-25	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1978-07-07	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.1416667	-60.0244444	1980-02-26	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, lago do Acurau		Crenicichla cincta	Amazonas
-3.1416667	-60.0244444	1990-01-23	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, lago do Acurau		Oxyropsis acutirostra	Amazonas
-3.1416667	-60.0244444	1979-06-18	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, lago Acurau	, Equipe de Ictiologia do INPA	Mesonauta festivus	Amazonas
-3.1416667	-60.0244444	1979-03-21	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, lago Comprido	, Equipe de Ictiologia do INPA	Hypselecara coryphaenoides	Amazonas
-3.1383528	-60.0240222	1982-03-16	Instituto Nacional de Pesquisas da Amazônia (INPA)	Manaus	Malta, J.C.	Amblyomma disYesile	Amazonas
-3.0963889	-59.9686111	2010-09-25	Instituto Nacional de Pesquisas da Amazônia (INPA)	Campus Universitário da Ufam, Igarapé P06	Penhalosa-Duarte, N.; Pereira, A.; Mesquita, A.; Mendes, D.; Catarino, M.	Aequidens pallidus	Amazonas
-3.0926611	-59.9897167	2005-03-20	Instituto Nacional de Pesquisas da Amazônia (INPA)	Reserva Ducke		Thelyphonellus amazonicus	Amazonas
-3.0926611	-59.9897167	1977-12-14	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1978-03-27	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1979-06-18	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1978-03-26	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma	Amazonas
-3.1452778	-60.0230556	1990-10-31	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro	Lundberg, J.G.; Chao, L.N.	Autanadoras	Amazonas
-3.094626	-59.99	2014-04-24	Instituto Nacional de Pesquisas da Amazônia (INPA)	Morada do Sol, Av. André Araújo	Mike Hopkins	Piperaceae	Amazonas
-3.0926611	-59.9897167	1978-03-12	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma	Amazonas
-3.0926611	-59.9897167	1979-09-18	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma	Amazonas
-3.0926611	-59.9897167	1977-09-10	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma	Amazonas
-3.0926611	-59.9897167	1978-01-03	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1979-05-10	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.1452778	-60.0230556	1990-11-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	Próximo à Manaus		Sternarchella terminalis	Amazonas
-3.1416667	-60.0244444	1979-03-21	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, lago Comprido.		Laemolyta	Amazonas
-3.1452778	-60.0230556	1992-06-10	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, em frente à Manaus		Apteronotus bonapartii	Amazonas
-3.1452778	-60.0230556	1992-12-11	Instituto Nacional de Pesquisas da Amazônia (INPA)	Ponta Negra, Ilha do Camaleão		Rhabdolichops eastwardi	Amazonas
-3.1452778	-60.0230556	1995-08-02	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, Praia Grande	Cox Fernandes, C.	Rhabdolichops electrogrammus	Amazonas
-3.0926611	-59.9897167	1979-04-24	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1978-02-04	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Py-Daniel, V.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1978-03-19	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.1416667	-60.0244444	1979-07-31	Instituto Nacional de Pesquisas da Amazônia (INPA)	Baixo rio Negro.		Leporinus agassizii	Amazonas
-3.1452778	-60.0230556	1990-11-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	Ponta Negra	, Equipe de Ictiologia do INPA	Hypophthalmus	Amazonas
-3.0926611	-59.9897167	1978-02-12	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma varium	Amazonas
-3.1452778	-60.0230556	1990-11-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, próximo a Manaus		Eigenmannia macrops	Amazonas
-3.1416667	-60.0244444	1980-06-23	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, lago do Acurau	, Equipe de Ictiologia do INPA	Crenicichla notophthalmus	Amazonas
-3.0952	-59.97	1978-07-05	Instituto Nacional de Pesquisas da Amazônia (INPA)	Campus Universitário, Universidade Federal do Amazonas	Rafael,  José	Stipomorpha	Amazonas
-3.083333	-59.98	1994-08-09	Instituto Nacional de Pesquisas da Amazônia (INPA)	Campus do INPA., Campus do INPA.	Mike Hopkins	Tabernaemontana coriacea (Link ex Roem. & Schult.) Markgr.	Amazonas
-3.1416667	-60.0244444	1978-10-30	Instituto Nacional de Pesquisas da Amazônia (INPA)	Am, 10. Km 21 (2 km para dentro do igarapé próximo a estrada da Psicultura.		Corydoras	Amazonas
-3.116667	-60.02	1960-02-25	Instituto Nacional de Pesquisas da Amazônia (INPA)	Igarapé do Buião., Cabeceira do igarapé do Buião. Terreno arenoso, capoeira.	Mike Hopkins	Clusia panapanari (Aubl.) Choisy	Amazonas
-3.10165	-59.99	2014-04-24	Instituto Nacional de Pesquisas da Amazônia (INPA)	Petrópolis, Rua Paraguaçu, próximo ao Canaã	Mike Hopkins	Clidemia	Amazonas
-3.1416667	-60.0244444	1979-11-22	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, lago Acurau	, Equipe de Ictiologia do INPA	Mesonauta insignis	Amazonas
-3.0952	-59.97	1978-10-21	Instituto Nacional de Pesquisas da Amazônia (INPA)	Campus Universitário, Universidade Federal do Amazonas	Rafael,  José	Copestylum	Amazonas
-3.1383528	-60.0240222	1978-04-26	Instituto Nacional de Pesquisas da Amazônia (INPA)	Manaus	Waage, J.	Amblyomma	Amazonas
-3.1383528	-60.0240222	1979-06-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	Manaus	Best, R.C.	Amblyomma	Amazonas
-3.0926611	-59.9897167	1979-05-25	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1978-04-26	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Waage, J.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1978-08-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1978-07-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0926611	-59.9897167	1978-07-17	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma	Amazonas
-3.0926611	-59.9897167	1977-09-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Amblyomma	Amazonas
-3.1416667	-60.0244444	1989-09-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, Praia Acurau (ilha Acurau)		Geophagus	Amazonas
-3.1416667	-60.0244444	1979-11-22	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, lago Acurau		Heros efasciatus	Amazonas
-3.1416667	-60.0244444	1979-11-22	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, lago Acurau		Biotoecus opercularis	Amazonas
-3.1452778	-60.0230556	1990-11-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, próximo a Manaus	Lundberg, J.G.; Chao, L.N.	Hypophthalmus edentatus	Amazonas
-3.1383528	-60.0240222	1978-04-15	Instituto Nacional de Pesquisas da Amazônia (INPA)	Manaus	Best, R.C.	Amblyomma geayi	Amazonas
-3.0952	-59.97	1978-07-23	Instituto Nacional de Pesquisas da Amazônia (INPA)	Campus Universitário, Universidade Federal do Amazonas	Rafael,  José	Chrysidimyia	Amazonas
-3.1416667	-60.0244444	1981-10-14	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, igarapé Maraja, Praia		Brycon erythropterum	Amazonas
-3.1452778	-60.0230556	1990-11-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, próximo a Manaus		Autanadoras	Amazonas
-3.1452778	-60.0230556	1992-12-11	Instituto Nacional de Pesquisas da Amazônia (INPA)	Ponta Negra, Ilha do Camaleão		Adontosternarchus clarkae	Amazonas
-3.1452778	-60.0230556	1995-08-02	Instituto Nacional de Pesquisas da Amazônia (INPA)	Praia Grande		Sternarchella	Amazonas
-3.1452778	-60.0230556	1995-08-02	Instituto Nacional de Pesquisas da Amazônia (INPA)	Praia Grande	Cox Fernandes, C.; Lowe-McConnell, R.	Hypophthalmus fimbriatus	Amazonas
-3.1416667	-60.0244444	1979-03-21	Instituto Nacional de Pesquisas da Amazônia (INPA)	Rio Negro, lago Comprido.	Soares, M.G.	Laemolyta proxima	Amazonas
-3.1452778	-60.0230556	1995-08-02	Instituto Nacional de Pesquisas da Amazônia (INPA)	Praia Grande	Cox Fernandes, C.; Lowe-McConnell, R.	Rhabdolichops troscheli	Amazonas
-3.1383528	-60.0240222	1979-05-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	Manaus	Best, R.C.	Amblyomma	Amazonas
-3.1383528	-60.0240222	1978-04-22	Instituto Nacional de Pesquisas da Amazônia (INPA)	Manaus	Best, R.C.	Amblyomma geayi	Amazonas
-3.1383528	-60.0240222	1979-03-21	Instituto Nacional de Pesquisas da Amazônia (INPA)	Manaus	Best, R.C.	Amblyomma geayi	Amazonas
-3.1383528	-60.0240222	1978-04-26	Instituto Nacional de Pesquisas da Amazônia (INPA)	Manaus	Waage, J.	Amblyomma varium	Amazonas
-3.116667	-60.02	1966-11-18	Instituto Nacional de Pesquisas da Amazônia (INPA)	Estrada Aleixo, Estrada do Aleixo, km 6. Swamp beside stream.	Mike Hopkins	Clusia renggerioides Planch. & Triana	Amazonas
-3.098917	-59.99	2014-04-24	Instituto Nacional de Pesquisas da Amazônia (INPA)	Petrópolis, Rua Bem Te Vi. Estacionamento em frente ao Bosque da Ciência.	Mike Hopkins	Heliotropium	Amazonas
-3.0952	-59.97	1978-11-04	Instituto Nacional de Pesquisas da Amazônia (INPA)	Campus Universitário, Universidade Federal do Amazonas	Rafael,  José	Microdon	Amazonas
-3.0952	-59.97	1979-05-12	Instituto Nacional de Pesquisas da Amazônia (INPA)	Campus Universitário, Universidade Federal do Amazonas	Rafael,  José	Microdon	Amazonas
-3.0926611	-59.9897167	1978-05-28	Instituto Nacional de Pesquisas da Amazônia (INPA)	INPA-campus	Best, R.C.	Macrocheles uroxys	Amazonas
